Item,Description,Note,Order Quantity,Unit Price,Total Price,URL,URL 2,URL 3
SN74LV1T125DBVR,Logic Level Shifter / Logic Buffer,,2,₹38.06,₹76.12,https://robu.in/product/sn74lv1t125dbvr-texas-instruments-buffer-74lv1t125-1-6-v-to-5-5-v-sot-23-5/,https://www.digikey.in/en/products/detail/texas-instruments/SN74LV1T125DBVR/4555571/,
 XC6206P332MR-G ,Voltage Regulator,,5,₹46.00,₹230.00,https://www.digikey.in/en/products/detail/torex-semiconductor-ltd/XC6206P332MR-G/7386004?utm_source=chatgpt.com,https://sharvielectronics.com/product/xc6206p332mr-g-3-3v-200ma-low-esr-cap-compatible-positive-voltage-regulator-sot-23-3-package/,
USBLC6-2SC6,ESD Protection,,6,₹31.87,₹191.22,https://www.digikey.in/en/products/detail/stmicroelectronics/USBLC6-2SC6/1040559,http://robu.in/product/usblc6-2sc6-stmicroelectronics-usblc6-2sc6-esd-protection-device-17-v-sot-23-6-pins-usblc/,
1N4148W-T4 Diode (SOD-123),Diode,,110,₹2.00,₹220.00,https://stackskb.com/product-category/parts/electronic-parts/,https://sharvielectronics.com/product/1n4148w-t4-high-speed-fast-switching-diode-sod-123-package/,
Gateron Hotswap Sockets,Hotswap Sockets,,110,₹10.00,"₹1,100.00",https://stackskb.com/store/gateron-hotswap-sockets/,,
Cherry MX2A Switch Set,Cherry MX Switches,Sold as 110 Switch Pack,110,₹36.35,"₹3,999.00",https://keychron.in/product/cherry-mx2a-switch-set/,https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/cherry-mx2a-switch/,
Coiled Cable,,Need more research (will find cheaper ones),2,"₹2,500.00","₹5,000.00",https://keychron.in/product/keychron-premium-coiled-aviator-cable/,https://keychron.in/product/coiled-type-c-cable/,
SK6812MINI-E,RGB Lights,Am not sure about this one. ,120,₹25.00,"₹3,000.00",https://shop.beekeeb.com/products/sk6812mini-e,https://www.amazon.in/Kqcibz-Similar-WS2812B-Individually-Addressable/dp/B0D5LGQ629,
nice!view,OLED Screen,,2,"₹2,100.00","₹4,200.00",https://shop.beekeeb.com/products/nice-view-with-sockets-power-saving-display-for-wireless-split-keyboard,https://ergokeyboard.sg/products/nice-view-lcd-display,
2N7002,SOT-23 MOSFET,,4,₹11.53,₹46.12,https://sharvielectronics.com/product/2n7002-60v-300ma-n-channel-mosfet-sot-23-package/,,
USB C Female,USB C Receptacle TYPE-C-31-M-23-Hroparts,,2,₹65.00,₹130.00,https://robu.in/product/type-c-31-m-23-hroparts-1-surface-mount-right-angle-16p-female-55%e2%84%8385%e2%84%83-type-c-smd-usb-connectors-rohs/,,
JST Male,JST Pin for the Battery,,2,₹11.00,₹22.00,https://robu.in/product/ph-02y-2mm-2-pin-female-housing-connector-with-300mm-wire28-awg,,
JST 2mm,JST Pin for connecting Battery,,2,₹40.00,₹80.00,https://robu.in/product/s2b-ph-sm4-tblfsn-jst-1x2p-2p-ph-tin-2-25%e2%84%8385%e2%84%83-2a-1-2mm-copper-alloy-horizontal-attachment-smdp2mmsurface-mount%ef%bc%8cright-angle-wire-to-board-connector-rohs/,,
3.7v Battery,,,2,₹438.00,₹876.00,https://robu.in/product/1500mah-pcm-protected-micro-li-po-battery/,,
,,,,,,,,
,,,,,,,,
DEVELOPMENT KIT,,,,,,,,
Raspberry Pi Pico 2W,"Microcontroller board, For Flashing firmware to the HolyIOT 18010",,1,₹696.00,₹696.00,https://robu.in/product/raspberry-pi-pico-2-w/,https://www.raspberrypi.com/products/raspberry-pi-pico-2/,
Breadboard,,,1,₹32.00,₹32.00,https://robu.in/product/solderless-400-pin-breadboard-normal-quality-without-packing/,https://robu.in/product/mb102-830-points-solderless-prototype-pcb-breadboard-high-quality/,
Jumper Cable,Male to Female,,1,₹38.00,₹38.00,https://robu.in/product/male-to-female-jumper-wires-40pcs-20cm/,,
Jumper Cable,Male to Male,,1,₹41.00,₹41.00,https://robu.in/product/male-to-male-jumper-wires-40pcs-20cm/,,
,,,,,,,,
Expected PCB Price,(with shipping),50-60 USD,,,"₹5,030.00",,,
,,,,,,,,
TOTAL,,,,,"₹27,664.08",,,
Expected Total with Shipping,,"Added 3000rs for shipping, this value will increase or decrease ",,,"₹30,664.08",,,
Expected Total in USD,,1 INR = 0.012,,,$367.97,,,
