Designator,Mid X,Mid Y,Rotation,Layer
D3,125.55,-107.775,270.0,top
D30_2,346.504998,-171.232502,270.0,top
D30,182.7,-172.06875,270.0,top
D31_2,327.454998,-173.613752,270.0,top
D31,201.75,-174.45,270.0,top
D32_2,308.404998,-175.995002,270.0,top
D32,220.8,-176.83125,270.0,top
D33_2,448.898748,-195.045002,270.0,top
D33,80.30625,-195.88125,270.0,top
D34_2,422.704998,-195.045002,270.0,top
D34,106.5,-195.88125,270.0,top
D35_2,403.654998,-192.663752,270.0,top
D35,125.55,-193.5,270.0,top
D36_2,384.604998,-190.282502,270.0,top
D36,144.6,-191.11875,270.0,top
D37_2,365.554998,-187.901252,270.0,top
D37,163.65,-188.7375,270.0,top
D38_2,346.504998,-190.282502,270.0,top
D38,182.7,-191.11875,270.0,top
D39_2,327.454998,-192.663752,270.0,top
D39,201.75,-193.5,270.0,top
D4_2,384.604998,-107.145002,270.0,top
D4,144.6,-107.775,270.0,top
D40_2,308.404998,-195.045002,270.0,top
D40,220.8,-195.88125,270.0,top
D41_2,456.042498,-214.095002,270.0,top
D41,73.1625,-214.93125,270.0,top
D42_2,427.404998,-214.445002,270.0,top
D42,101.7375,-214.93125,270.0,top
D43_2,403.654998,-211.713752,270.0,top
D43,125.55,-212.55,270.0,top
D44_2,384.604998,-209.332502,270.0,top
D44,144.6,-210.16875,270.0,top
D45_2,365.554998,-206.951252,270.0,top
D45,163.65,-207.7875,270.0,top
D46_2,352.204998,-211.945002,240.0,top
D46,205.872949,-217.968776,255.0,top
D47_2,333.454998,-216.945002,240.0,top
D47,224.7,-221.275,255.0,top
D48_2,314.836184,-220.371779,240.0,top
D48,239.6,-224.575,255.0,top
D5_2,365.554998,-107.145002,270.0,top
D5,163.65,-107.775,270.0,top
D6_2,346.504998,-107.145002,270.0,top
D6,182.7,-107.775,270.0,top
D7_2,327.454998,-107.145002,270.0,top
D7,201.75,-107.775,270.0,top
D8_2,308.404998,-107.145002,270.0,top
D8,220.8,-107.775,270.0,top
D9_2,441.754998,-137.895002,270.0,top
D9,87.45,-138.73125,270.0,top
ESD_D1_2,284.650001,-134.230004,180.0,top
ESD_D1,261.549997,-134.062503,0.0,top
ESD_D2_2,279.749998,-112.842501,90.0,bottom
ESD_D2,266.45,-112.675,90.0,bottom
F1_2,282.999998,-112.442501,270.0,top
F1,263.2,-112.275,270.0,top
G_LED1_2,280.504999,-128.095002,0.0,bottom
G_LED1,265.9,-125.375,0.0,bottom
J1_2,278.050003,-134.930002,270.0,top
J1,268.149995,-134.762501,270.0,bottom
J3_2,283.499998,-153.142501,180.0,top
J3,262.7,-152.975,180.0,top
J4_2,280.604998,-105.995002,180.0,top
J4,265.595,-105.827501,180.0,top
J5_2,276.099998,-122.7125,0.0,top
J5,270.1,-122.545,0.0,top
LED1_2,450.479998,-118.245002,0.0,top
LED1,96.05,-118.775,0.0,top
LED10_2,431.429998,-149.201252,0.0,top
LED10,115.1,-149.73125,0.0,top
LED11_2,412.379998,-146.820002,0.0,top
LED11,134.15,-147.35,0.0,top
LED12_2,393.329998,-144.438752,0.0,top
LED12,153.2,-144.96875,0.0,top
LED13_2,374.279998,-142.057502,0.0,top
LED13,172.25,-142.5875,0.0,top
LED14_2,355.229998,-144.438752,0.0,top
LED14,191.3,-144.96875,0.0,top
LED15_2,336.179998,-146.820002,0.0,top
LED15,210.35,-147.35,0.0,top
LED16_2,317.129998,-149.201252,0.0,top
LED16,229.4,-149.73125,0.0,top
LED17_2,452.861248,-168.251252,0.0,top
LED17,93.66875,-168.78125,0.0,top
LED18_2,431.429998,-168.251252,0.0,top
LED18,115.1,-168.78125,0.0,top
LED19_2,412.379998,-165.870002,0.0,top
LED19,134.15,-166.4,0.0,top
LED2_2,431.429998,-118.245002,0.0,top
LED2,115.1,-118.775,0.0,top
LED20_2,393.329998,-163.488752,0.0,top
LED20,153.2,-164.01875,0.0,top
LED21_2,374.279998,-161.107502,0.0,top
LED21,172.25,-161.6375,0.0,top
LED22_2,355.229998,-163.488752,0.0,top
LED22,191.3,-164.01875,0.0,top
LED23_2,336.179998,-165.870002,0.0,top
LED23,210.35,-166.4,0.0,top
LED24_2,317.129998,-168.251252,0.0,top
LED24,229.4,-168.78125,0.0,top
LED25_2,455.292498,-187.301252,0.0,top
LED25,91.2875,-187.83125,0.0,top
LED26_2,431.479998,-187.301252,0.0,top
LED26,115.1,-187.83125,0.0,top
LED27_2,412.429998,-184.920002,0.0,top
LED27,134.15,-185.45,0.0,top
LED28_2,393.379998,-182.538752,0.0,top
LED28,153.2,-183.06875,0.0,top
LED29_2,374.329998,-180.157502,0.0,top
LED29,172.25,-180.6875,0.0,top
LED3_2,412.379998,-118.245002,0.0,top
LED3,134.15,-118.775,0.0,top
LED30_2,355.279998,-182.538752,0.0,top
LED30,191.3,-183.06875,0.0,top
LED31_2,336.229998,-184.920002,0.0,top
LED31,210.35,-185.45,0.0,top
LED32_2,317.179998,-187.301252,0.0,top
LED32,229.4,-187.83125,0.0,top
LED33_2,457.623748,-206.351252,0.0,top
LED33,88.90625,-206.88125,0.0,top
LED34_2,431.429998,-206.351252,0.0,top
LED34,115.1,-206.88125,0.0,top
LED35_2,412.379998,-203.970002,0.0,top
LED35,134.15,-204.5,0.0,top
LED36_2,393.329998,-201.588752,0.0,top
LED36,153.2,-202.11875,0.0,top
LED37_2,374.279998,-199.207502,0.0,top
LED37,172.25,-199.7375,0.0,top
LED38_2,355.229998,-201.588752,0.0,top
LED38,191.3,-202.11875,0.0,top
LED39_2,336.179998,-203.970002,0.0,top
LED39,210.35,-204.5,0.0,top
LED4_2,393.329998,-118.245002,0.0,top
LED4,153.2,-118.775,0.0,top
LED40_2,317.129998,-206.351252,0.0,top
LED40,229.4,-206.88125,0.0,top
LED41_2,464.767498,-225.401252,0.0,top
LED41,81.7625,-225.93125,0.0,top
LED42_2,436.192498,-225.401252,0.0,top
LED42,110.3375,-225.93125,0.0,top
LED43_2,412.379998,-223.020002,0.0,top
LED43,134.15,-223.55,0.0,top
LED44_2,393.329998,-220.638752,0.0,top
LED44,153.2,-221.16875,0.0,top
LED45_2,374.279998,-218.257502,0.0,top
LED45,172.25,-218.7875,0.0,top
LED46_2,345.904998,-224.395002,285.0,top
LED46,191.070371,-221.880902,255.0,top
LED47_2,327.404998,-229.145002,285.0,top
LED47,209.570373,-226.880906,255.0,top
LED48_2,308.286184,-232.571779,285.0,top
LED48,228.126558,-231.954127,255.0,top
LED5_2,374.279998,-118.245002,0.0,top
LED5,172.25,-118.775,0.0,top
LED6_2,355.229998,-118.245002,0.0,top
LED6,191.3,-118.775,0.0,top
LED7_2,336.179998,-118.245002,0.0,top
LED7,210.35,-118.775,0.0,top
LED8_2,317.129998,-118.245002,0.0,top
LED8,229.4,-118.775,0.0,top
LED9_2,450.479998,-149.201252,0.0,top
LED9,96.05,-149.73125,0.0,top
OLED1_2,295.504998,-150.155002,0.0,bottom
OLED1,250.35,-151.185,0.0,bottom
PC1_2,300.604998,-127.232502,270.0,top
PC1,245.65,-129.825,225.0,top
PC2_2,290.404998,-125.295002,270.0,top
PC2,252.25,-129.525,270.0,top
Q1_2,280.599998,-141.942501,0.0,top
Q1,265.6,-141.775,180.0,top
R1_2,293.404998,-129.995002,270.0,top
R1,261.75,-121.425,270.0,top
R10_2,304.054998,-153.395002,180.0,bottom
